commit	combined	combined_mean	combined_min	clean_fp	n_datasets	combined_singing	combined_korean	combined_english	clean_fp_singing	clean_fp_korean	clean_fp_english	status	description
943afec	0.449352	0.498699	0.240000	6	3	0.240000	0.500000	0.756098	6	0	0	discard	GBM_MIN_SEP_S 3.5->3.6 finer step in nearly-kept direction (3.5->3.75 failed at combined=0.448140, just 0.001 below current best 0.449352) — untested intermediate between kept 3.5 and failed 3.75, further consolidate adjacent FP emits in clean singing files (clean_fp=6 plateau, weakest domain 0.240) since real splices in 30-120s files typically separated >3.6s so TPs preserved; smaller increment should recover the small FP consolidation benefit of 3.75 without its borderline TP loss
85aa77f	0.443440	0.497202	0.232727	4	3	0.232727	0.482759	0.776119	4	0	0	discard	GBM max_features None->'sqrt' retrain with per-split feature subsampling — untried feature-level regularization (prior retrains tried row/tree-shape: max_depth 3->4 failed, subsample 0.9->0.8 failed, min_samples_leaf 1->5 failed) and primary tunables bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10); top singing predictors spec_rolloff_delta(962) / spec_centroid_delta(300) / spec_bandwidth_delta(294) / nf_rolloff_delta(174) are highly correlated envelope-driven features that dominate splits, so sampling ~sqrt(75)=9 features per split forces alternative splits onto uncorrelated dsp_t2_z / dsp_pairwise_proximity to reduce memorization of song-natural chord-transition patterns driving singing clean_fp=6 plateau at weakest combined=0.240
050aa49	0.452885	0.506172	0.238028	7	3	0.238028	0.500000	0.780488	7	0	0	keep	ANALYSIS_STEP_S 50.0->40.0 untried primary tunable (chunk-geometry axis, 12 iterations of threshold/min_sep/stride all bracketed, retrains all failed), increase chunk overlap from 17% to 33% so splices landing within 20s of a chunk boundary get two chunk views instead of one with truncated pre/post T²/CPE windows, recover borderline TPs driving singing splice_f1 plateau (~0.34, weakest domain combined=0.240), FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe consolidating redundant emits from overlapping chunks on clean files
2a2e584	0.468623	0.509440	0.272222	6	3	0.272222	0.500000	0.756098	6	0	0	keep	ANALYSIS_STEP_S 40.0->30.0 continue accepted direction from the single keep on chunk-geometry axis (50.0->40.0 gave current best 0.452885), same -10s step size that worked, bump overlap from 33% to 50% so every splice within 30s of a chunk boundary is guaranteed two chunk views (vs 20s at step=40), further recover borderline TPs driving singing splice_f1 plateau (~0.34, weakest domain combined=0.240), matches +0.25 streak pattern on GBM_MIN_SEP_S that held 5 kept steps in a row, FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe consolidating redundant emits from overlapping chunks
c33d51d	0.374619	0.461763	0.145455	12	3	0.145455	0.468750	0.771084	12	0	0	discard	ANALYSIS_STEP_S 30.0->20.0 continue accepted direction on chunk-geometry axis (50.0->40.0 kept at 0.452885, 40.0->30.0 kept at current best 0.468623), same -10s step size that has held 2 kept iterations in a row, bump overlap from 50% to 67% so every splice within 40s of a chunk boundary is guaranteed two chunk views (vs 30s at step=30), further recover borderline TPs driving singing splice_f1 plateau (weakest domain combined=0.272, clean_fp=6), matches +0.25 streak pattern on GBM_MIN_SEP_S that held 5 kept steps in a row, FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe consolidating redundant emits from tripled overlapping chunk views on clean files, eval time budget headroom ample (243s observed vs 300s budget, step=20 increases chunk count ~1.5x from step=30)
e8e6a26	0.352153	0.427500	0.162162	12	3	0.162162	0.349254	0.771084	10	2	0	discard	ANALYSIS_WINDOW_S 60.0->75.0 untested primary tunable on chunk-geometry axis (W never touched while S tuned 50->40->30 for 3 consecutive keeps 0.449->0.453->0.469), increase each chunk's context 25% to stabilize PCA basis and T²/CPE baselines that top singing predictors (spec_rolloff_delta/spec_centroid_delta/spec_bandwidth_delta) are built on, recover borderline TPs and suppress song-natural chord-transition FPs driving weakest-domain singing combined=0.272 with clean_fp=6, overlap fraction grows from 50%% to 60%% (W-S=45 vs 30) so every splice within 45s of a chunk boundary keeps two-chunk coverage, S held at 30 since S=20 failed (0.375) so densification by chunk count has saturated but window-size axis is orthogonal, fewer but longer chunks per file keeps scan_total ~constant within 300s budget, FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe consolidating redundant emits across overlapping longer chunks
280b24f	0.438480	0.492475	0.228378	10	3	0.228378	0.480000	0.769048	7	2	1	discard	introduce ANALYSIS_EDGE_S=1.0 (was hardcoded 0.5) untried primary tunable on chunk-geometry axis (all prior work touched W/S/STRIDE/THRESHOLD/MIN_SEP/retrain), widen the no-emit margin at each chunk boundary where features.py builds pre/post T²/CPE baselines from truncated context (0.5s pre-window is statistically unstable), preferentially suppress singing FPs from song-natural spec_rolloff_delta / spec_centroid_delta / dsp_t2_z spikes at chunk edges (all top singing predictors degrade with truncated pre/post windows, weakest-domain combined=0.272 with clean_fp=6), S=30/W=60 50% overlap guarantees every interior file position is also scanned by an adjacent chunk at local t well past 1.0s (typically mid-chunk full-context) so no interior TP loss, evaluate.py TOLERANCE_S=1.0 means any GT splice within 1.0s of file start/end is already outside matching envelope so first/last-chunk edge widening risks zero additional TP loss, FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe on clean files
dbbbd5f	0.439161	0.493582	0.231507	7	3	0.231507	0.468750	0.780488	7	0	0	discard	ANALYSIS_STEP_S 30.0->25.0 fine-grained intermediate between kept 30.0 (current best 0.468623) and failed 20.0 (0.374619), untested midpoint on chunk-geometry axis that has been winning (50->40 kept, 40->30 kept as -10s steps), bump overlap from 50%% to 58%% so every splice within 35s of a chunk boundary gets two chunk views (vs 30s at step=30, which lost the progression at step=20 density), matches fine-grained intermediate pattern that held repeatedly on GBM_MIN_SEP_S axis (3.0->3.25 kept after 2.5 baseline, 3.25->3.5 kept, step=0.25 dominated after -0.5 step exhausted), further recover borderline TPs driving singing splice_f1~0.34 plateau (weakest domain combined=0.272, clean_fp=6), FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe consolidating redundant emits from moderately denser chunk views on clean files, eval time headroom (243s observed vs 300s budget) accommodates ~1.2x chunk count increase from step=30 vs prior step=20 failure likely due to 1.5x blowup overshooting budget or introducing too many overlapping edge-artifact emits
a38a2ef	0.434679	0.480517	0.267123	7	3	0.267123	0.393939	0.780488	7	0	0	discard	ANALYSIS_STEP_S 30.0->27.5 untested fine-grained intermediate between kept 30 (current best 0.468623) and failed 25 (0.439161, step -5s) / failed 20 (0.374619, step -10s), matches GBM_MIN_SEP_S +0.25 fine-grained intermediate pattern that held 5 keeps in a row (2.5->2.75->3.0->3.25->3.5), -2.5s step is untested smaller version of the failed -5s, bumps overlap from 50% to 54% (W-S=32.5 vs 30), every splice within 32.5s of chunk boundary gets two views (up from 30s), chunk count +9% which is marginal vs the 17% hop at S=25 that overshot consolidation, targets borderline singing TPs at splice_f1~0.39 driving weakest domain combined=0.272 with clean_fp=6, FP growth bounded by GBM_MIN_SEP_S=3.5 dedupe consolidating redundant emits across ~9% more chunks on clean singing files, eval time budget headroom ample (~243s observed vs 300s, 1.09x chunk count stays well inside)
ec579d0	0.425237	0.470960	0.233333	6	3	0.233333	0.454545	0.725000	6	0	0	discard	NEG_MIN_DIST_S 2.0->3.5 align training-time negative sampling distance with detector.GBM_MIN_SEP_S=3.5 dedupe distance — untouched axis (training-data construction never modified since initial commit, all 4 prior failed retrains touched only GBM hyperparams: max_depth, subsample, min_samples_leaf, max_features), removes label noise in 2.0-3.5s post-splice region where features may stay elevated (especially tier-2 crossfades whose splice region commonly spans >2s) but were previously labeled as not_splice while at test time the same positions get deduped by the GT-positive emit anyway, sharpens classifier's understanding of true splice boundaries vs adjacent-but-not-splice, targets singing clean_fp=6 plateau and weakest-domain combined=0.272 by reducing confusion between borderline near-GT samples and true negatives, primary tunables now bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0), class balance shift modest (600 not_splice / 300 hard_cut / 300 crossfade vs prior similar)
7111954	0.458553	0.515410	0.238095	6	3	0.238095	0.502941	0.805195	5	1	0	discard	POS_OFFSETS_S (0.0,±0.3,±0.6)->(0.0,±0.3) remove wide positives — untouched training-data-construction axis (all retrain hyperparams failed: max_depth 4, subsample 0.8, min_samples_leaf 5, max_features sqrt, NEG_MIN_DIST_S 3.5; primary tunables all bracketed), ±0.6s offsets create label noise since crossfades (tier 2) span ~300-500ms so features at GT+0.6 reflect post-crossfade continuous-clip statistics labeled as splice, and for hard cuts (tier 1) with typical delta-feature windows ≤0.6s both pre/post windows fall entirely within one clip-side at ±0.6 offset yielding clean-like deltas mislabeled splice, GBM then learns spec_rolloff_delta/spec_centroid_delta/spec_bandwidth_delta (top singing predictors) "past-splice continuous" pattern which eval-singing song-natural chord-transition deltas happen to match driving singing clean_fp=6 plateau at weakest-domain combined=0.272, tightening positives to ±0.3s keeps offsets well inside both crossfade duration and any reasonable delta window so positive labels align with actual splice signal, class counts shift 600/300/300 -> 600/180/180 (10:3:3 ratio preserves minority weight vs prior 10:5:5), closest positives at 0.0/±0.3 retained so no loss of high-quality splice examples
d5a1e67	0.438441	0.495299	0.226087	8	3	0.226087	0.475000	0.784810	7	1	0	discard	NEG_PER_CLEAN 4->8 double clean-file negatives in training set — untried training-data-composition axis (all prior retrains touched classifier hyperparams: max_depth 4, subsample 0.8, min_samples_leaf 5, max_features sqrt, or splice-adjacent sample geometry: NEG_MIN_DIST_S 3.5, POS_OFFSETS_S narrowed to ±0.3, all failed) and primary tunables all bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0); doubles per-clean-file negatives from 4 to 8 giving GBM ~240 additional clean-audio feature exposures (20 clean files × 4 extra × 3 domains), class counts shift 600/300/300 → 840/300/300 (2.8:1:1 from 2:1:1), directly targets singing clean_fp=6 plateau at weakest-domain combined=0.272 since singing FPs live exclusively on clean files (english/korean clean_fp=0) so the failure mode is specifically 'clean singing patterns escape p_splice>0.982' which more clean negatives should push down, untried axis orthogonal to both tree-shape regularization and splice-adjacent labeling that have been exhausted, class-minority positive counts unchanged preserving splice-example density and recall baseline
399c8d3	0.457300	0.504981	0.266667	4	3	0.266667	0.448276	0.800000	4	0	0	discard	GBM learning_rate 0.07->0.05 retrain with slower shrinkage — untried retrain axis (all prior failed retrains touched tree-shape max_depth 4, ensemble-stochastic subsample 0.8, leaf regularization min_samples_leaf 5, feature-level max_features sqrt, or training-data geometry NEG_MIN_DIST 3.5 / POS_OFFSETS ±0.3 / NEG_PER_CLEAN 8, none touched the learning-rate axis which controls per-tree contribution shrinkage orthogonally to all prior regularizers) and primary tunables all bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0); lower learning_rate at fixed n_estimators=200 reduces each tree's contribution from 0.07 to 0.05 (~29%% shrinkage) forcing the ensemble to rely on smoother, more averaged signal across trees rather than sharp early-tree splits memorizing specific spec_rolloff_delta / spec_centroid_delta / spec_bandwidth_delta patterns from training singing that don't generalize to eval singing's song-natural chord-transition deltas driving singing clean_fp=6 plateau at weakest-domain combined=0.272, training loss will be under-fit relative to prior 0.07 fit but that's the intended tradeoff for the classifier-generalization failure mode not addressed by regularization-axis retrains, keeps ensemble capacity identical (same depth 3, same 200 trees, same subsample 0.9) so only the per-tree shrinkage axis changes
ba46631	0.463218	0.502781	0.276056	6	3	0.276056	0.476190	0.756098	6	0	0	discard	GBM_THRESHOLD 0.982->0.9825 re-tighten after chunk-overlap doubled (step 50->40->30 keeps grew 17%->33%->50% overlap so per-file emit candidates roughly doubled since 0.982 was tuned), untested fine-grained intermediate between current 0.982 and prior-kept-at-old-geometry 0.983 (0.985->0.983->0.982 all kept sequentially before chunk-geometry axis was touched), half the step size (0.0005 vs 0.001) of the failed 0.982->0.981 loosening to test re-tightening direction without overshooting, directly targets singing clean_fp=6 plateau at weakest-domain combined=0.272 since denser chunk overlap produces more redundant borderline emits on clean files which GBM_MIN_SEP_S=3.5 dedupes into single-point FPs at p_splice between 0.9825 and 0.982 (below new threshold but above current), marginal TP loss bounded because real splices typically score >0.99 per hard_cut classification and crossfades are the weaker recall class living at p=0.93-0.98 where 0.0005 tighter bite is negligible
2822de0	0.371486	0.444756	0.170455	13	3	0.170455	0.387342	0.776471	10	3	0	discard	GBM n_estimators 200->300 retrain with untouched ensemble-width axis — untried classifier capacity dial (prior retrains exhausted orthogonal regularization axes: max_depth 3->4 failed, subsample 0.9->0.8 failed, min_samples_leaf 1->5 failed, max_features None->sqrt failed, learning_rate 0.07->0.05 failed, and training-data-geometry NEG_MIN_DIST 2->3.5 / POS_OFFSETS narrowed to ±0.3 / NEG_PER_CLEAN 4->8 all failed) and primary tunables all bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.9825/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0); +50%% trees at fixed learning_rate=0.07 gives the boosting residual-fit process 100 additional iterations to focus on the hardest samples (which in gradient boosting are by construction the borderline classifications late in training), directly targeting the residual misclassification population where clean singing p_splice hovers near 0.982 threshold driving clean_fp=6 plateau at weakest-domain combined=0.272 — unlike learning_rate 0.05 which UNDERFIT by shrinking each tree's contribution at fixed capacity (failed at 0.457), this keeps per-tree signal strong while extending the ensemble's focus on hard samples, capacity axis is orthogonal to all prior regularization retrains so a distinct signal whether singing FPs are a capacity shortage (GBM genuinely lacks iterations to separate song-natural spec_rolloff_delta / spec_centroid_delta / spec_bandwidth_delta jumps from true splices) vs a noise-overfitting problem (regularization axes already failed, suggesting capacity-shortage is the more likely residual), training time modest increase ~1.5x on a ~3min retrain, eval stays instant since GBM inference is O(n_estimators·depth) adding ~50%% to per-candidate scoring which is negligible against scan_total
120f478	0.372341	0.444283	0.176471	3	3	0.176471	0.373770	0.782609	2	1	0	discard	NEG_PER_SPLICED 3->6 double spliced-file negatives in training set — untried training-data-composition axis orthogonal to failed NEG_PER_CLEAN 4->8 (clean-file negatives), all primary tunables bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.9825/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0), all prior retrain hyperparam axes failed (max_depth 4, subsample 0.8, min_samples_leaf 5, max_features sqrt, learning_rate 0.05, n_estimators 300), splice-proximity training-data experiments failed (NEG_MIN_DIST 3.5, POS_OFFSETS narrowed ±0.3); doubles per-spliced-file random negatives from 3 to 6 giving GBM ~360 additional negative examples (120 spliced files × 3 extra) sampled from positions NEG_MIN_DIST_S=2s from any GT splice in files that contain real splices elsewhere, class counts shift 600/300/300 -> 960/300/300 (3.2:1:1 from 2:1:1), directly targets singing clean_fp=6 plateau and splice_f1~0.34 at weakest-domain combined=0.272 because these negatives are specifically 'song-natural transitions that are NOT splices from a musical context that DOES contain splices somewhere' — closer distribution to eval clean singing FPs (song-natural chord transitions firing spec_rolloff_delta/spec_centroid_delta/spec_bandwidth_delta top predictors) than the ~random-midpoint clean-file negatives which NEG_PER_CLEAN doubling already tried; orthogonal axis hypothesis — clean-file negatives doubling failed likely because clean files lack the musical complexity surrounding real splices, whereas spliced-file-but-non-splice-point negatives come from the exact same distribution of musical transitions that produce singing FPs at test time$'\n'$'\n'Co-Authored-By: Claude Opus 4.7 (1M context) <noreply@anthropic.com>
540e3e5	0.412617	0.452112	0.216949	4	3	0.216949	0.542373	0.597015	4	0	0	discard	GBM max_depth 3->2 retrain with shallower trees — untried direction on the depth axis (only max_depth 3->4 was tried and failed at 0.412952, suggesting overfitting direction is bad and underfitting-leaning direction is untested), all other classifier hyperparam axes tried single-direction with failures (subsample 0.9->0.8 failed at 0.390, min_samples_leaf 1->5 failed at 0.410, max_features None->sqrt failed at 0.443, learning_rate 0.07->0.05 failed at 0.457, n_estimators 200->300 failed at 0.371), and all primary tunables bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.9825/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0) and training-data axes exhausted (NEG_MIN_DIST 3.5 failed, POS_OFFSETS narrowed failed, NEG_PER_CLEAN 8 failed, NEG_PER_SPLICED 6 failed); depth=2 means each tree is a stump-with-one-interaction (root + 2 internal splits max, 4 leaves) which cannot chain three correlated envelope-delta features into a single decision path — top singing predictors spec_rolloff_delta(1365) / spec_centroid_delta(427) / spec_bandwidth_delta(409) / nf_rolloff_delta(254) are highly collinear envelope-driven features that at depth=3 let GBM build 'rolloff_delta>X AND centroid_delta>Y AND bandwidth_delta>Z' decision paths memorizing specific song-natural chord-transition cluster patterns from training singing that don't generalize to eval-singing driving clean_fp=6 plateau at weakest-domain combined=0.272 — forcing depth=2 keeps the ensemble's focus on single feature main effects + simple pairwise interactions across 200 trees so the model relies on diverse orthogonal signals rather than memorized feature-triple coincidences, OOF metrics degraded modestly (weighted F1 0.60 vs prior deeper-tree levels) as expected for reduced per-tree capacity but reduced memorization is the intended tradeoff not captured by OOF on training-distribution data; direction is the opposite of the failed depth-up attempt which over-parameterized the tree further
0785bcb	0.458935	0.497265	0.276056	6	3	0.276056	0.468750	0.746988	6	0	0	discard	GBM_THRESHOLD 0.982->0.983 AND GBM_MIN_SEP_S 3.5->3.25 joint diagonal multi-axis primary-tunable move — both axes bracketed independently (THRESHOLD 0.982 by failed 0.981/0.9825/0.98, MIN_SEP 3.5 by failed 3.6/3.75/4.0 upward) but this exact COUPLED pair never tested as 2D co-ordinate, all single-axis fine-grained follow-ups and all retrain/training-data axes exhausted; theory: system sits at a 2D saddle where coordinate-descent shows local max at (0.982, 3.5) but the true optimum lies on the diagonal — tightening THRESHOLD to 0.983 drops the borderline clean-singing FP cluster (6 clean FPs currently at p_splice ≈ 0.982 just above the bar, driving singing clean_fp=6 weakest-domain combined=0.272) while simultaneously loosening MIN_SEP to 3.25 compensates for the TP loss from tighter threshold by preserving finer-grained emit resolution within dedupe windows; under current step=30 50% overlap geometry each real splice is scored by 2 chunks with emits landing within stride=0.12s of each other so MIN_SEP=3.25 still consolidates dual-chunk TP views cleanly (no GT fragmentation risk); individual moves 0.982->0.9825 failed at 0.463 (TP loss not compensated) and 3.5->3.25 not tested at current geometry (only at old step=50 17% overlap state where it was kept); joint hypothesis tests whether the two axes' failure modes cancel — tighter THRESHOLD removes low-prob clean FPs, looser MIN_SEP allows the mid-prob borderline TPs to emit separately from any nearby dominant emit that would have swallowed them at MIN_SEP=3.5; no retrain needed so blast radius is minimal
7014e34	0.435031	0.508547	0.215385	7	3	0.215385	0.438462	0.871795	6	1	0	discard	spectral delta window 2.0s -> 1.0s in _block_spectral, untouched feature-engineering axis (all prior failed retrains touched classifier hyperparams: max_depth both directions, subsample 0.8, min_samples_leaf 5, max_features sqrt, learning_rate 0.05, n_estimators 300, or training-data-composition: NEG_MIN_DIST 3.5, POS_OFFSETS narrowed to ±0.3, NEG_PER_CLEAN 8, NEG_PER_SPLICED 6 — none touched per-block delta window sizes), all primary tunables bracketed (GBM_THRESHOLD 0.982 by failed 0.981/0.9825/0.98, GBM_MIN_SEP_S 3.5 by failed 3.6/3.75/4.0, ANALYSIS_STRIDE_S 0.12 by failed 0.11/0.10, ANALYSIS_STEP_S 30 by failed 25/27.5/20, ANALYSIS_WINDOW_S 60 by failed 75, ANALYSIS_EDGE_S 0.5 by failed 1.0), joint THRESHOLD+MIN_SEP diagonal failed; top singing predictors spec_rolloff_delta(1365) / spec_centroid_delta(427) / spec_bandwidth_delta(409) all live in _block_spectral and currently average over 2.0s pre + 2.0s post = 4 seconds of musical context where typical pop/rock chord progressions cycle every 2-4s so the ±2.0s delta is dominated by the next/previous chord rather than the splice transition itself driving singing clean_fp=6 plateau at weakest-domain combined=0.272; halving to ±1.0s windows means the delta now reflects the immediate ~2s region around t_sec where (a) real splice transitions in ALL three classes still produce strong instantaneous deltas (hard cuts span <50ms, crossfades typically <500ms so both fully captured by ±1.0s), (b) song-natural chord progressions averaged over only ±1.0s show smaller deltas because there's less time for a new chord to dominate the post window vs the pre window; orthogonal axis to all prior retrain-axis exhaustion since classifier hyperparams control how the model fits a fixed feature distribution while feature window controls what the feature distribution IS, isolated change to spec block only (top-3 singing predictors all live there) — MFCC/NF/Pitch/Energy blocks keep ±2.0s windows unchanged so any TP-loss from speech/voicing features (which benefit from longer context for stable f0/MFCC averages) is avoided; retrained classifier OOF weighted F1 0.59 (vs prior ~0.61 ballpark) modestly degraded as expected since narrower windows are noisier per-frame but the off-distribution generalization to clean singing is the failure mode not addressed by training-distribution OOF metrics
cd8f758	0.463218	0.502781	0.276056	6	3	0.276056	0.476190	0.756098	6	0	0	discard	GBM_THRESHOLD 0.982->0.983 SINGULAR re-tightening at current chunk geometry (step=30, 50% overlap) never tested alone — only tested as joint with MIN_SEP=3.5->3.25 (failed at 0.459 due to korean 0.500->0.469 / english 0.756->0.747 degradation from looser MIN_SEP, but singing actually IMPROVED to 0.276 in that move vs current 0.272), isolating the threshold-up move as the singing-helpful component; chunk geometry densification from step=50 (17% overlap) -> step=30 (50% overlap) approximately doubled per-splice emit candidates since 0.982 was tuned, causing more borderline FPs to cluster at p_splice ∈ [0.982, 0.983] on clean singing (clean_fp=6 plateau, weakest-domain combined=0.272); tighter threshold removes that FP band without looser MIN_SEP dragging down korean/english precision, TP loss bounded because tier 1 hard cuts score near p_splice ≈ 0.99+ and tier 2 crossfades hover 0.93-0.98 where 0.001 tighter bite is negligible; prior singular-threshold attempts at current geometry all moved LOOSER (0.981/0.98/0.9825 all failed) so tightening direction is distinct untried axis at current geometry; no retrain needed so blast radius is minimal
